%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
26.0, -14569.4033203125, 19658.560546875, -14785.90234375, 135329.21875, -187500.015625, 6226.21240234375, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869618626E9, 2021-02-19 16:24:46.961
27.0, -14262.513671875, 19666.427734375, -14775.3740234375, 135345.015625, -187500.015625, 5836.0849609375, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 253.0, 16.0, 235.0, 192.0, 23.0, 160.0, 0.0, 0.0, 0.0, 1.6137590869648786E9, 2021-02-19 16:24:46.964
28.0, -14149.525390625, 19436.94140625, -15002.4677734375, 135118.734375, -187500.015625, 8291.87109375, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869688275E9, 2021-02-19 16:24:46.968
29.0, -14218.435546875, 19373.12890625, -15069.7021484375, 135046.734375, -187500.015625, 10540.9931640625, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869717917E9, 2021-02-19 16:24:46.971
30.0, -14274.44921875, 19530.619140625, -14917.173828125, 135195.0625, -187500.015625, 9961.3896484375, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869748747E9, 2021-02-19 16:24:46.974
31.0, -14106.095703125, 19573.041015625, -14873.2080078125, 135244.546875, -187500.015625, 9293.9443359375, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869787855E9, 2021-02-19 16:24:46.978
32.0, -14013.3583984375, 19380.83984375, -15062.794921875, 135058.53125, -187500.015625, 11355.646484375, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61375908698183E9, 2021-02-19 16:24:46.981
33.0, -14122.30078125, 19283.900390625, -15159.421875, 134957.609375, -187500.015625, 13717.1533203125, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869848764E9, 2021-02-19 16:24:46.984
34.0, -14238.7763671875, 19498.6328125, -14948.533203125, 135163.9375, -187500.015625, 13118.998046875, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869888332E9, 2021-02-19 16:24:46.988
35.0, -14030.501953125, 19698.099609375, -14748.41796875, 135367.171875, -187500.015625, 11717.0302734375, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869919214E9, 2021-02-19 16:24:46.991
36.0, -13817.982421875, 19529.232421875, -14912.859375, 135205.09375, -187500.015625, 12695.365234375, -187500.015625, -187500.015625, -0.09400000423192978, -0.6480000019073486, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869948013E9, 2021-02-19 16:24:46.994
